KO,F101_0.22_B,F101_0.22_S,F103_0.22_B,F103_0.22_S,F107_0.22_B,F107_0.22_S
K02895,1,1,1,1,1,1
K02896,1,1,1,1,1,1
K02897,1,1,1,1,1,1
K02898,0,1,1,1,1,0
K02899,1,1,1,1,1,1
K02900,0,1,1,1,1,1
K02901,0,1,1,1,1,1
K02902,1,1,1,1,1,1
K02903,0,0,1,0,1,0
K02904,1,1,1,1,1,1
K02905,0,0,0,0,0,0
K02906,1,1,1,1,1,1
K02907,1,1,1,1,1,1
K02908,1,1,1,1,1,1
K02909,1,1,1,1,1,1
K02910,1,1,1,1,1,1
K02911,1,1,1,1,1,1
K02912,1,1,1,1,1,1
K02913,1,1,1,1,1,1
K02914,1,1,1,1,1,1
K02915,0,0,1,0,1,1
K02916,1,1,1,1,1,1
K02917,0,0,1,1,1,0
K02918,0,0,1,0,1,1
K02919,1,1,1,1,1,1
K02920,0,0,0,0,1,0
K02921,1,1,1,1,1,1
K02922,1,0,1,0,1,0
K02923,0,0,1,1,1,0
K02924,1,1,1,1,1,1
K02925,1,1,1,1,1,1
K02926,1,1,1,1,1,1
K02927,1,1,1,1,1,1
K02929,1,1,1,1,1,1
K02930,1,1,1,1,1,1
K02931,1,1,1,1,1,1
K02932,0,1,1,1,1,1
K02933,1,1,1,1,1,1
K02934,0,1,1,1,1,1
K02935,1,1,1,1,1,1
K02936,1,1,1,1,1,1
K02937,0,1,1,1,1,1
K02938,1,1,1,1,1,1
K02939,1,1,1,1,1,1
K02940,0,1,1,1,1,0
K02941,0,1,1,1,1,0
K02942,0,0,1,0,1,0
K02943,0,0,1,0,1,0
K02944,1,1,1,1,1,1
K02945,1,1,1,1,1,1
K02946,1,1,1,1,1,1
K02947,0,1,1,1,1,1
K02948,1,1,1,1,1,1
K02949,0,1,1,1,1,0
K02950,1,1,1,1,1,1
K02951,0,1,1,1,1,0
K02952,1,1,1,1,1,1
K02953,0,1,1,1,1,1
K02954,1,1,1,1,1,1
K02955,0,1,1,1,1,1
K02956,1,1,1,1,1,1
K02957,0,1,1,1,1,1
K02958,0,1,1,1,1,1
K02959,1,1,1,1,1,1
K02960,1,1,1,1,1,1
K02961,1,1,1,1,1,1
K02962,1,1,1,1,1,1
K02963,1,1,1,1,1,1
K02964,1,1,1,1,1,1
K02965,1,1,1,1,1,1
K02966,1,1,1,1,1,1
K02967,1,1,1,1,1,1
K02968,1,1,1,1,1,1
K02969,0,1,1,1,1,1
K02970,1,1,1,1,1,1
K02971,0,0,1,1,1,0
K02973,0,1,1,1,1,1
K02974,1,1,1,1,1,1
K02975,1,1,1,1,1,0
K02976,1,0,1,1,1,1
K02977,1,1,1,1,1,1
K02978,1,1,1,1,1,1
K02979,1,1,1,1,1,1
K02980,0,0,0,1,1,0
K02981,0,1,1,1,1,1
K02982,1,1,1,1,1,1
K02983,1,1,1,1,1,0
K02984,1,1,1,1,1,1
K02985,1,1,1,1,1,1
K02986,1,1,1,1,1,1
K02987,1,1,1,1,1,1
K02988,1,1,1,1,1,1
K02989,1,1,1,1,1,1
K02990,1,1,1,1,1,1
K02991,1,1,1,1,1,1
K02992,1,1,1,1,1,1
K02993,1,1,1,1,1,1
K02994,1,1,1,1,1,1
K02995,1,1,1,1,1,1
K02996,1,1,1,1,1,1
K02997,1,1,1,1,1,1
K02998,0,1,1,1,1,1
K02999,0,1,1,1,1,1
K03000,0,0,1,1,1,0
K03002,1,0,1,1,1,1
K03004,0,0,1,0,1,0
K03005,0,0,0,0,1,1
K03006,1,1,1,1,1,1
K03007,1,1,1,1,1,1
K03008,0,0,1,1,1,0
K03009,0,0,0,0,1,0
K03010,1,1,1,1,1,1
K03011,1,1,1,1,1,1
K03012,0,0,1,0,1,0
K03013,1,1,1,1,1,1
K03014,1,1,1,1,1,1
K03015,0,1,1,1,1,1
K03016,0,0,1,1,1,0
K03017,0,0,1,0,1,0
K03018,1,1,1,1,1,1
K03019,0,0,1,0,1,0
K03020,0,0,1,1,1,0
K03021,1,1,1,1,1,1
K03022,0,0,1,0,1,0
K03023,0,0,1,0,1,0
K03025,0,1,1,1,1,1
K03026,0,0,0,0,0,0
K03027,1,1,1,1,1,1
K03028,1,1,1,1,1,1
K03029,0,1,1,1,1,1
K03030,1,1,1,1,1,1
K03031,0,0,1,1,1,0
K03032,0,1,1,1,1,1
K03033,0,0,1,1,1,1
K03035,0,1,1,1,1,1
K03036,0,1,1,1,1,1
K03037,0,0,1,1,1,0
K03038,0,1,1,1,1,1
K03039,0,0,1,1,1,1
K03040,1,1,1,1,1,1
K03041,1,1,1,1,1,1
K03042,1,1,1,1,1,1
K03043,1,1,1,1,1,1
K03044,1,1,1,1,1,1
K03045,1,0,1,1,1,1
K03046,1,1,1,1,1,1
K03047,1,1,1,1,1,1
K03048,1,0,0,0,0,1
K03049,1,1,1,1,1,1
K03050,1,1,1,1,1,1
K03051,1,1,1,1,1,1
K03053,1,1,1,1,1,1
K03055,0,0,1,0,1,1
K03056,1,1,1,1,1,1
K03057,1,1,1,1,1,1
K03058,1,1,1,1,1,1
K03059,1,1,1,1,1,0
K03060,1,1,1,1,1,1
K03061,1,1,1,1,1,1
K03062,1,1,1,1,1,1
K03063,0,1,1,1,1,1
K03064,0,1,1,1,1,1
K03065,1,1,1,1,1,1
K03066,0,1,1,1,1,1
K03068,1,0,1,0,1,1
K03070,1,1,1,1,1,1
K03071,1,1,1,1,1,1
K03072,1,1,1,1,1,1
K03073,1,1,1,1,1,1
K03074,1,1,1,1,1,1
K03075,1,1,1,1,1,1
K03076,1,1,1,1,1,1
K03077,1,1,1,1,1,1
K03078,1,0,1,0,0,0
K03079,0,0,0,0,0,0
K03083,1,0,1,1,1,1
K03084,0,0,0,0,0,0
K03086,1,1,1,1,1,1
K03087,1,1,1,1,1,1
K03088,1,1,1,1,1,1
K03089,1,1,1,1,1,1
K03090,1,1,1,1,1,1
K03091,1,1,1,1,1,1
K03092,1,1,1,1,1,1
K03093,0,0,1,0,1,0
K03094,0,1,1,1,1,1
K03095,0,0,0,0,0,1
K03097,0,1,1,1,1,1
K03098,1,1,1,1,1,1
K03099,0,0,0,0,0,0
K03100,1,1,1,1,1,1
K03101,1,1,1,1,1,1
K03102,0,0,0,0,0,0
K03104,0,0,1,0,1,0
K03105,1,1,1,1,1,1
K03106,1,1,1,1,1,1
K03107,0,0,1,1,1,1
K03108,0,0,1,0,1,1
K03109,0,0,0,0,1,0
K03110,1,1,1,1,1,1
K03111,1,1,1,1,1,1
K03112,1,1,1,1,1,1
K03113,1,1,1,1,1,1
K03114,0,0,0,0,0,0
K03115,0,0,1,1,1,1
K03116,1,1,1,1,1,1
K03117,1,1,1,1,1,1
K03118,1,1,1,1,1,1
K03119,1,1,1,1,1,1
K03120,1,1,1,1,1,1
K03122,0,0,0,0,1,0
K03123,0,0,1,0,1,0
K03124,1,1,1,1,1,1
K03125,0,0,1,1,1,1
K03126,0,0,1,0,1,0
K03127,0,0,1,0,1,0
K03128,0,0,1,1,1,0
K03130,1,0,1,1,1,1
K03131,0,0,1,1,1,1
K03132,0,0,0,0,1,0
K03133,0,0,1,0,1,0
K03134,0,0,1,0,1,0
K03135,0,0,1,0,1,0
K03136,1,1,1,1,1,1
K03137,0,0,1,1,1,0
K03138,0,0,1,1,1,0
K03139,0,0,1,1,1,1
K03141,0,0,1,1,1,0
K03142,0,0,1,1,1,0
K03143,0,0,1,0,1,0
K03144,0,0,1,1,1,0
K03145,1,1,1,1,1,1
K03146,1,1,1,1,1,0
K03147,1,1,1,1,1,1
K03148,1,1,1,1,1,1
K03149,1,1,1,1,1,1
K03150,1,1,1,1,1,1
K03151,1,1,1,1,1,1
K03152,1,1,1,1,1,1
K03153,1,1,1,1,1,1
K03154,1,1,1,1,1,1
K03155,0,0,0,0,1,1
K03162,0,0,0,0,0,0
K03163,1,1,1,1,1,1
K03164,1,1,1,1,1,1
K03165,1,1,1,1,1,1
K03166,1,1,1,1,1,1
K03167,1,1,1,1,1,1
K03168,1,1,1,1,1,1
K03169,1,1,1,1,1,1
K03170,0,0,0,0,0,0
K03173,0,0,0,0,0,0
K03174,0,0,0,0,0,0
K03175,0,0,0,0,0,0
K03177,1,1,1,1,1,1
K03178,1,1,1,1,1,1
K03179,1,1,1,1,1,1
K03181,1,1,1,1,1,1
K03182,1,1,1,1,1,1
K03183,1,1,1,1,1,1
K03184,1,1,1,1,1,1
K03185,1,1,1,1,1,1
K03186,1,1,1,1,1,1
K03187,1,1,1,1,1,1
K03188,1,1,1,1,1,1
K03189,1,1,1,1,1,1
K03190,1,1,1,1,1,1
K03191,0,0,0,0,0,0
K03192,1,1,1,1,1,1
K03193,0,0,1,0,1,0
K03194,0,0,0,1,0,0
K03195,1,1,1,1,1,1
K03196,1,1,1,1,1,1
K03197,0,1,1,1,0,1
K03198,0,1,1,1,0,1
K03199,1,1,1,1,1,1
K03200,1,1,1,1,0,1
K03201,0,1,1,1,0,1
K03203,0,1,1,1,0,0
K03204,1,1,1,1,0,1
K03205,1,1,1,1,1,1
K03206,0,0,1,0,0,0
K03207,1,1,1,1,1,1
K03208,1,1,1,1,1,1
K03210,1,1,1,1,1,1
K03212,0,0,0,0,0,0
K03214,0,0,1,0,0,0
K03215,1,1,1,1,1,1
K03216,1,1,1,1,1,1
K03217,1,1,1,1,1,1
K03218,1,1,1,1,1,1
K03219,1,1,1,1,1,1
K03220,1,0,1,0,0,1
K03221,0,0,1,0,0,0
K03222,1,0,1,0,0,1
K03223,1,1,1,1,0,1
K03224,1,0,1,0,0,1
K03225,1,0,1,0,0,0
K03226,0,0,1,0,1,1
K03227,0,0,1,0,0,0
K03228,1,0,1,0,0,1
K03229,1,0,1,0,0,1
K03230,1,0,1,0,1,1
K03231,1,1,1,1,1,1
K03232,1,0,1,1,1,1
K03233,1,1,1,1,1,1
K03234,1,1,1,1,1,1
K03235,1,1,1,1,1,1
K03236,1,1,1,1,1,1
K03237,1,1,1,1,1,1
K03238,1,1,1,1,1,1
K03239,1,0,1,1,1,1
K03240,0,0,1,1,1,0
K03241,0,0,1,0,1,0
K03242,1,1,1,1,1,1
K03243,1,1,1,1,1,1
K03245,0,0,1,1,1,0
K03246,0,1,1,1,1,1
K03247,0,1,1,1,1,1
K03248,1,1,1,1,1,1
K03249,0,0,1,0,1,1
K03250,1,0,1,1,1,1
K03251,0,0,1,1,1,1
K03252,0,0,1,1,1,1
K03253,0,1,1,1,1,1
K03254,0,0,1,1,1,1
K03255,0,0,0,0,1,1
K03256,0,0,1,0,1,0
K03257,1,1,1,1,1,1
K03258,0,0,0,0,1,0
K03259,1,1,1,1,1,1
K03260,1,0,1,1,1,1
K03262,0,0,1,1,1,1
K03263,1,1,1,1,1,1
K03264,1,1,1,1,1,1
K03265,1,1,1,1,1,1
K03267,0,0,1,1,1,1
K03268,0,0,1,0,1,1
K03269,1,1,1,1,1,1
K03270,1,1,1,1,1,1
K03271,1,1,1,1,1,1
K03272,1,1,1,1,1,1
K03273,1,1,1,1,1,1
K03274,1,1,1,1,1,1
K03275,1,1,1,1,1,1
K03276,0,0,1,0,1,1
K03278,1,0,1,1,1,1
K03279,1,1,1,1,1,1
K03280,0,0,0,0,0,0
K03281,1,1,1,1,1,1
K03282,1,1,1,1,1,1
K03283,1,1,1,1,1,1
K03284,1,1,1,1,1,1
K03285,0,0,1,0,1,0
K03286,1,1,1,1,1,1
K03287,1,1,1,1,1,1
K03288,1,0,1,0,1,1
K03289,0,0,0,0,0,0
K03290,0,0,0,0,0,0
K03291,1,1,1,1,0,1
K03292,1,1,1,1,1,1
K03293,1,1,1,1,1,1
K03294,1,1,1,1,1,1
K03296,1,1,1,1,1,1
K03297,1,1,1,1,1,1
K03298,1,1,1,1,1,1
K03299,1,1,1,1,1,1
K03300,1,0,1,0,1,1
K03301,0,0,1,1,1,1
K03303,1,1,1,1,1,1
K03304,1,1,0,1,0,1
K03305,1,1,1,1,1,1
K03306,1,1,1,1,1,1
K03307,1,1,1,1,1,1
K03308,1,1,1,1,1,1
K03309,1,1,1,1,1,1
K03310,1,1,1,1,1,1
K03311,1,0,1,0,1,1
K03312,1,1,1,1,1,1
K03313,1,1,1,1,1,1
K03314,1,1,1,1,1,1
K03315,1,1,1,1,1,1
K03316,1,1,1,1,1,1
K03317,1,1,1,1,1,1
K03318,0,0,0,0,0,0
K03319,1,1,1,1,1,1
K03320,1,1,1,1,1,1
K03321,1,1,1,1,1,1
K03322,0,0,1,1,1,1
K03323,0,0,0,0,0,0
K03324,1,1,1,1,1,1
K03325,1,1,1,1,1,1
K03326,1,0,1,0,1,1
K03327,1,1,1,1,1,1
K03328,1,1,1,1,1,1
K03329,0,0,0,0,0,0
K03330,1,1,1,1,1,1
K03331,0,0,1,0,1,1
K03332,0,0,0,0,0,0
K03333,1,1,1,1,1,1
K03334,0,0,0,0,0,0
K03335,1,1,1,1,1,1
K03336,1,1,1,1,1,1
K03337,1,1,1,1,1,1
K03338,1,1,1,1,1,1
K03339,0,0,0,0,0,0
K03340,0,0,0,0,0,0
K03341,0,0,1,1,1,1
K03342,1,1,1,1,1,1
K03343,0,0,0,0,0,0
K03345,1,0,0,0,0,1
K03346,1,0,1,0,0,1
K03347,0,0,1,1,1,1
K03348,0,0,1,1,1,1
K03349,0,0,1,1,1,1
K03350,0,0,1,1,1,1
K03351,0,0,0,0,1,0
K03352,0,0,0,0,0,0
K03353,0,0,1,1,1,0
K03354,0,0,1,0,1,1
K03355,1,0,1,1,1,1
K03357,0,0,1,1,1,0
K03358,0,0,1,1,1,0
K03360,0,0,1,0,1,1
K03361,0,0,1,0,1,1
K03362,0,0,0,0,0,0
K03363,1,1,1,1,1,1
K03364,1,1,1,1,1,1
K03366,1,1,1,1,1,1
K03367,1,1,1,1,1,1
K03368,1,0,1,1,1,0
K03370,0,0,0,0,0,0
K03371,0,0,0,0,0,0
K03372,0,1,1,1,1,1
K03373,0,0,0,0,0,0
K03374,0,0,0,0,0,0
K03375,0,0,1,0,1,0
K03379,1,1,1,1,1,1
K03380,1,1,1,1,1,1
K03381,1,1,1,1,1,1
K03382,1,1,1,1,1,1
K03383,1,0,1,0,1,1
K03385,0,0,1,0,0,0
K03386,1,1,1,1,1,1
K03387,1,1,1,1,1,1
K03388,1,1,1,1,1,1
K03389,1,1,1,1,1,1
K03390,1,1,1,1,1,1
K03391,1,0,1,0,1,1
K03392,1,1,1,1,1,1
K03394,1,1,1,1,1,1
K03395,0,0,0,0,0,0
K03396,0,0,0,0,0,0
K03397,0,0,0,0,0,0
K03399,1,1,1,1,1,1
K03400,0,0,0,0,0,0
K03402,1,1,1,1,1,1
K03403,1,1,1,1,1,1
K03404,1,1,1,1,1,1
K03405,1,1,1,1,1,1
K03406,1,1,1,1,1,1
K03407,1,1,1,1,1,1
K03408,1,1,1,1,1,1
K03409,1,1,1,1,0,1
K03410,1,1,1,1,0,1
K03411,1,1,1,1,1,1
K03412,1,1,1,1,1,1
K03413,1,1,1,1,1,1
K03414,1,1,1,1,0,1
K03415,1,1,1,1,1,1
K03417,1,1,1,1,1,1
K03418,1,1,1,1,1,1
K03420,1,1,1,1,1,1
K03424,1,1,1,1,1,1
K03425,0,0,0,0,0,0
K03426,1,1,1,1,1,1
K03427,1,1,1,1,1,1
K03428,1,1,1,1,1,1
K03429,1,1,1,1,1,1
K03430,1,1,1,1,1,1
K03431,1,1,1,1,1,1
K03432,1,1,1,1,1,1
K03433,1,1,1,1,1,1
K03434,0,0,1,1,1,0
K03435,1,1,1,1,1,1
K03436,1,1,1,1,1,1
K03437,1,1,1,1,1,1
K03438,1,1,1,1,1,1
K03439,1,1,1,1,1,1
K03441,0,0,0,0,1,0
K03442,1,1,1,1,1,1
K03444,0,0,0,0,0,0
K03445,0,0,1,0,0,0
K03446,1,1,1,1,1,1
K03447,0,0,0,0,1,0
K03449,1,1,1,1,1,1
K03450,0,0,0,0,0,0
K03451,1,1,1,1,1,1
K03452,0,0,0,0,0,0
K03453,1,1,1,1,1,1
K03455,1,1,1,1,1,1
K03456,1,1,1,1,1,1
K03457,1,1,1,1,1,1
K03458,1,1,1,1,1,1
K03462,0,1,1,1,1,1
K03464,0,0,1,0,1,1
K03465,1,1,1,1,1,1
K03466,1,1,1,1,1,1
K03468,0,0,0,0,0,0
K03469,1,1,1,1,1,1
K03470,1,1,1,1,1,1
K03471,1,1,1,1,1,1
K03472,1,1,1,1,1,1
K03473,1,1,1,1,1,1
K03474,1,1,1,1,1,1
K03475,0,0,1,0,0,1
K03476,0,0,1,0,1,1
K03477,1,1,1,1,1,1
K03478,1,1,1,1,1,1
K03480,0,0,0,0,0,0
K03481,0,0,0,0,0,0
K03482,0,0,0,0,0,0
K03483,0,0,0,0,0,0
K03484,1,1,1,1,1,1
K03485,0,0,1,0,0,1
K03486,0,0,1,0,1,0
K03487,1,0,1,0,0,1
K03488,0,0,0,0,0,0
K03489,0,0,0,0,0,0
K03490,0,0,0,0,0,0
K03491,0,0,1,0,1,0
K03492,0,0,0,0,0,0
K03494,0,0,0,0,1,0
K03495,1,1,1,1,1,1
K03496,1,1,1,1,1,1
K03497,1,1,1,1,1,1
K03498,1,1,1,1,1,1
K03499,1,1,1,1,1,1
K03500,1,1,1,1,1,1
K03501,1,1,1,1,1,1
K03502,1,1,1,1,1,1
K03503,1,1,1,1,1,1
K03504,0,0,0,0,1,0
K03505,0,0,0,0,1,0
K03506,0,0,1,0,1,0
K03507,0,0,0,0,0,0
K03509,0,0,1,0,1,1
K03510,0,0,0,0,1,1
K03511,0,0,1,1,1,1
K03512,1,1,1,1,1,1
K03513,0,0,0,0,1,0
K03514,0,0,1,1,1,1
K03515,0,0,1,0,1,1
K03516,0,0,1,0,0,0
K03517,1,1,1,1,1,1
K03518,1,1,1,1,1,1
K03519,1,1,1,1,1,1
K03520,1,1,1,1,1,1
K03521,1,1,1,1,1,1
K03522,1,1,1,1,1,1
K03523,1,1,1,1,1,1
K03524,1,1,1,1,1,1
K03525,1,1,1,1,1,1
K03526,1,1,1,1,1,1
K03527,1,1,1,1,1,1
K03528,1,1,1,1,1,1
K03529,1,1,1,1,1,1
K03530,1,1,1,1,1,1
K03531,1,1,1,1,1,1
K03532,0,0,1,0,0,1
K03533,0,0,1,0,0,0
K03534,1,1,1,1,1,1
K03535,1,1,1,1,1,1
K03536,1,1,1,1,1,1
K03537,0,0,1,0,1,0
K03538,1,1,1,1,1,1
K03539,0,0,1,0,1,0
K03540,1,0,1,0,1,0
K03541,0,0,1,1,1,0
K03542,0,0,1,0,1,0
K03543,1,1,1,1,1,1
K03544,1,1,1,1,1,1
K03545,1,1,1,1,1,1
K03546,1,1,1,1,1,1
K03547,1,1,1,1,1,1
K03548,1,1,1,1,1,1
K03549,1,1,1,1,1,1
K03550,1,1,1,1,1,1
K03551,1,1,1,1,1,1
K03552,1,0,1,0,0,0
K03553,1,1,1,1,1,1
K03554,1,1,1,1,1,1
K03555,1,1,1,1,1,1
K03556,1,1,1,1,1,1
K03557,1,1,1,1,1,1
K03558,1,1,1,1,1,1
K03559,1,1,1,1,1,1
K03560,1,1,1,1,1,1
K03561,1,1,1,1,1,1
K03562,1,1,1,1,1,1
K03563,1,1,1,1,1,1
K03564,1,1,1,1,1,1
K03565,1,1,1,1,1,1
K03566,1,1,1,1,1,1
K03567,1,1,1,1,1,1
K03568,1,1,1,1,1,1
K03569,1,1,1,1,1,1
K03570,1,1,1,1,1,1
K03571,1,1,1,1,1,1
K03572,1,1,1,1,1,1
K03573,1,1,1,1,1,1
K03574,1,1,1,1,1,1
K03575,1,1,1,1,1,1
K03576,1,1,1,1,1,1
K03577,1,1,1,0,1,1
K03578,1,1,1,1,1,1
K03579,1,1,1,1,1,1
K03580,1,1,1,1,1,1
K03581,1,1,1,1,1,1
K03582,1,1,1,1,1,1
K03583,1,1,1,1,1,1
K03584,1,1,1,1,1,1
K03585,1,1,1,1,1,1
K03586,1,1,1,1,1,1
K03587,1,1,1,1,1,1
K03588,1,1,1,1,1,1
K03589,1,1,1,1,1,1
K03590,1,1,1,1,1,1
K03591,1,1,0,1,0,0
K03592,1,1,1,1,1,1
K03593,1,1,1,1,1,1
K03594,1,1,1,1,1,1
K03595,1,1,1,1,1,1
K03596,1,1,1,1,1,1
K03597,1,1,1,1,1,1
K03598,1,1,1,1,1,1
K03599,1,1,1,1,1,1
K03600,1,1,1,1,1,1
K03601,1,1,1,1,1,1
K03602,1,1,1,1,1,1
K03603,1,1,1,1,0,1
K03604,1,1,1,1,1,1
K03605,0,1,1,0,0,0
K03606,1,1,1,1,1,1
K03607,1,1,1,1,0,1
K03608,1,1,1,1,1,1
K03609,1,1,1,1,1,1
K03610,1,1,1,1,1,1
K03611,1,1,1,1,1,1
K03612,1,1,1,1,1,1
K03613,1,1,1,1,1,1
K03614,1,1,1,1,1,1
K03615,1,1,1,1,1,1
K03616,1,1,1,1,1,1
K03617,1,1,1,1,1,1
K03618,0,1,1,0,0,0
K03619,0,0,1,0,0,0
K03620,0,0,1,0,0,0
K03621,1,1,1,1,1,1
K03622,1,1,1,1,1,1
K03623,0,0,0,0,0,0
K03624,1,1,1,1,1,1
K03625,1,1,1,1,1,1
K03626,1,1,1,1,1,1
K03627,1,1,1,1,1,1
K03628,1,1,1,1,1,1
K03629,1,1,1,1,1,1
K03630,1,1,1,1,1,1
K03631,1,1,1,1,1,1
K03632,1,1,1,1,0,1
K03633,1,0,1,0,0,1
K03634,1,1,1,1,1,1
K03635,1,1,1,1,1,1
K03636,1,1,1,1,1,1
K03637,1,1,1,1,1,1
K03638,1,1,1,1,1,1
K03639,1,1,1,1,1,1
K03640,1,1,1,1,1,1
K03641,1,1,1,1,1,1
K03642,1,1,1,1,1,1
K03643,1,1,1,1,1,1
K03644,1,1,1,1,1,1
K03645,1,1,1,1,0,1
K03646,1,1,1,1,1,1
K03647,1,1,1,1,0,1
K03648,1,1,1,1,1,1
K03649,1,0,1,1,1,1
K03650,1,1,1,1,1,1
K03651,1,1,1,1,1,1
K03652,1,1,1,1,1,1
K03653,1,0,1,0,1,1
K03654,1,1,1,1,1,1
K03655,1,1,1,1,1,1
K03656,1,1,1,1,1,1
K03657,1,1,1,1,1,1
K03658,1,1,1,1,1,1
K03660,1,1,1,1,1,1
K03661,0,0,1,0,1,1
K03664,1,1,1,1,1,1
K03665,1,1,1,1,1,1
K03666,1,1,1,1,1,1
K03667,1,1,1,1,1,1
K03668,0,0,1,0,0,1
K03669,1,1,1,1,1,1
K03670,1,1,1,1,1,1
K03671,1,1,1,1,1,1
K03672,1,1,1,1,1,1
K03673,1,1,1,1,1,1
K03674,1,1,1,1,1,1
K03675,0,0,1,0,1,1
K03676,1,1,1,1,1,1
K03678,0,1,1,1,1,0
K03679,1,1,1,1,1,1
K03680,1,0,1,1,1,1
K03681,0,0,1,0,1,0
K03683,1,1,1,1,1,1
K03684,1,1,1,1,1,1
K03685,1,1,1,1,1,1
K03686,1,1,1,1,1,1
K03687,1,1,1,1,1,1
K03688,1,1,1,1,1,1
K03689,1,1,1,1,1,1
K03690,1,1,1,1,1,1
K03691,0,0,1,0,1,0
K03692,1,1,1,1,1,1
K03693,0,0,0,0,0,0
K03694,1,1,1,1,1,1
K03695,1,1,1,1,1,1
K03696,1,1,1,1,1,1
K03697,0,0,0,0,0,0
K03698,1,1,1,1,1,1
K03699,1,1,1,1,1,1
K03700,1,0,1,1,1,1
K03701,1,1,1,1,1,1
K03702,1,1,1,1,1,1
K03703,1,1,1,1,1,1
K03704,1,1,1,1,1,1
K03705,1,1,1,1,1,1
K03706,0,0,0,0,0,0
K03707,1,1,1,1,1,1
K03708,0,0,0,0,0,0
K03709,1,1,1,1,1,1
K03710,1,1,1,1,1,1
K03711,1,1,1,1,1,1
K03712,1,0,1,0,1,1
K03713,0,0,0,0,0,0
K03714,0,0,0,0,0,0
K03715,0,1,1,1,1,0
K03716,1,1,1,1,1,1
K03717,1,1,1,1,1,1
K03718,1,1,1,1,1,1
K03719,1,1,1,1,1,1
K03720,1,0,1,1,1,1
K03721,1,1,1,1,1,1
K03722,1,1,1,1,1,1
K03723,1,1,1,1,1,1
K03724,1,1,1,1,1,1
K03725,1,0,1,1,1,1
K03726,1,1,1,1,1,1
K03727,1,1,1,1,1,1
K03731,0,0,0,0,1,0
K03732,1,1,1,1,1,1
K03733,1,1,1,1,1,1
K03734,1,1,1,1,1,1
K03735,1,1,1,1,1,1
K03736,1,0,1,0,0,1
K03737,1,1,1,1,1,1
K03738,1,1,1,1,1,1
K03739,0,0,1,0,1,0
K03740,0,0,0,0,0,0
K03741,1,1,1,1,1,1
K03742,1,1,1,1,1,1
K03743,1,1,1,1,1,1
K03744,1,1,1,1,1,1
K03745,1,1,1,1,1,1
K03746,1,1,1,1,1,1
K03747,1,1,1,1,1,1
K03748,1,1,1,0,1,1
K03749,1,1,1,1,1,1
K03750,1,1,1,1,1,1
K03752,1,1,1,1,1,1
K03753,1,1,1,1,1,1
K03754,0,0,1,1,1,1
K03756,0,0,1,0,0,1
K03757,0,0,1,0,0,1
K03758,1,0,1,0,1,1
K03759,1,1,1,1,1,1
K03760,1,1,1,1,1,1
K03761,1,0,1,0,1,1
K03762,1,1,1,1,1,1
K03763,1,1,1,1,1,1
K03764,1,1,1,0,0,1
K03765,0,0,1,0,0,1
K03767,1,1,1,1,1,1
K03768,1,1,1,1,1,1
K03769,1,1,1,1,1,1
K03770,1,1,1,1,1,1
K03771,1,1,1,1,1,1
K03772,1,1,1,1,1,1
K03773,1,1,1,1,1,1
K03774,1,1,1,1,1,1
K03775,1,1,1,1,1,1
K03776,1,1,1,1,1,1
K03777,1,1,1,1,1,1
K03778,1,1,1,1,1,1
K03779,1,1,1,1,1,1
K03780,1,1,1,1,1,1
K03781,1,1,1,1,1,1
K03782,1,1,1,1,1,1
K03783,1,1,1,1,1,1
K03784,1,1,1,1,1,1
K03785,1,1,1,1,1,1
K03786,1,1,1,1,1,1
K03787,1,1,1,1,1,1
K03788,0,0,1,0,1,1
K03789,1,1,1,1,1,1
K03790,1,1,1,1,1,1
K03791,1,1,1,1,1,1
K03792,0,0,1,0,1,0
K03793,1,1,1,1,1,1
K03794,0,0,0,0,0,0
K03795,1,1,1,1,1,1
K03796,1,1,1,1,1,1
K03797,1,1,1,1,1,1
K03798,1,1,1,1,1,1
K03799,1,1,1,1,1,1
K03800,1,1,1,1,1,1
K03801,1,1,1,1,1,1
K03802,1,1,1,1,1,1
K03803,1,1,1,1,0,1
K03804,0,0,1,0,0,1
K03805,1,1,1,1,0,1
K03806,1,1,1,1,1,1
K03807,1,1,1,1,1,1
K03808,1,1,1,1,1,1
K03809,1,1,1,1,1,1
K03810,1,0,1,1,1,1
K03811,1,1,1,1,1,1
K03812,1,1,1,1,1,1
K03813,0,0,0,0,0,0
K03814,1,1,1,1,1,1
K03815,1,1,1,1,1,1
K03816,0,0,1,0,1,1
K03817,1,0,1,0,1,1
K03818,1,1,1,1,1,1
K03819,0,0,0,0,0,0
K03820,1,1,1,1,1,1
K03821,1,1,1,1,1,1
K03822,0,0,0,0,1,0
K03823,1,1,1,1,1,1
K03824,1,1,1,1,1,1
K03825,1,0,1,1,0,1
K03826,0,0,1,0,1,1
K03827,0,0,1,0,0,1
K03828,1,1,1,1,1,1
K03829,1,1,1,1,1,1
K03830,1,1,1,1,0,1
K03831,1,1,1,1,1,1
K03832,1,1,1,1,1,1
K03833,1,1,1,1,1,1
K03834,1,0,1,1,1,1
K03835,0,0,0,0,1,0
K03837,1,0,1,0,0,1
K03838,0,0,0,0,0,0
K03839,1,1,1,1,1,1
K03840,1,1,1,1,1,1
K03841,1,1,1,1,1,1
K03842,0,0,1,0,1,0
K03843,1,1,1,1,1,1
K03844,0,0,1,0,1,0
K03845,1,0,1,1,1,1
