KO,F101_0.22_B,F101_0.22_S,F103_0.22_B,F103_0.22_S,F107_0.22_B,F107_0.22_S
K00232,1,1,1,1,1,1
K00234,1,1,1,1,1,1
K00235,1,1,1,1,1,1
K00236,0,0,1,1,1,1
K00237,0,0,1,0,1,0
K00239,1,1,1,1,1,1
K00240,1,1,1,1,1,1
K00241,1,1,1,1,1,1
K00242,1,1,1,1,1,1
K00243,1,1,1,1,1,1
K00244,1,1,1,1,1,1
K00245,1,1,1,1,1,1
K00246,1,1,1,1,1,1
K00247,1,1,1,1,1,1
K00248,1,1,1,1,1,1
K00249,1,1,1,1,1,1
K00252,1,1,1,1,1,1
K00253,1,1,1,1,1,1
K00254,1,1,1,1,1,1
K00255,1,1,1,1,1,1
K00256,1,1,1,1,1,1
K00257,1,1,1,1,1,1
K00259,1,1,1,1,1,1
K00260,1,0,1,0,1,1
K00261,1,1,1,1,1,1
K00262,1,1,1,1,1,1
K00263,1,1,1,1,1,1
K00264,1,1,1,1,1,1
K00265,1,1,1,1,1,1
K00266,1,1,1,1,1,1
K00270,0,0,0,0,0,0
K00271,1,1,1,1,1,1
K00272,0,0,0,0,0,0
K00273,1,1,1,1,1,1
K00274,1,1,1,1,1,1
K00275,1,1,1,1,1,1
K00276,1,1,1,1,1,1
K00277,0,0,1,0,1,0
K00278,1,1,1,1,1,1
K00279,0,0,1,0,0,1
K00280,1,1,1,1,1,1
K00281,1,1,1,1,1,1
K00282,1,1,1,1,1,1
K00283,1,1,1,1,1,1
K00284,1,1,1,1,1,1
K00285,1,1,1,1,1,1
K00286,1,1,1,1,1,1
K00287,1,1,1,1,1,1
K00288,1,0,1,1,1,1
K00289,0,0,1,0,1,0
K00290,1,1,1,1,1,1
K00293,1,1,1,1,1,1
K00294,1,1,1,1,1,1
K00295,0,0,1,0,1,0
K00297,1,1,1,1,1,1
K00298,0,0,0,0,0,0
K00299,1,1,1,1,1,1
K00301,1,1,1,1,1,1
K00302,1,1,1,1,1,1
K00303,1,1,1,1,1,1
K00304,1,1,1,1,1,1
K00305,1,1,1,1,1,1
K00306,0,0,0,0,1,0
K00311,1,1,1,1,1,1
K00313,1,1,1,1,1,1
K00314,1,1,1,1,1,1
K00315,1,1,1,1,1,1
K00316,1,1,1,1,1,1
K00317,1,1,1,1,1,1
K00318,1,1,1,1,1,1
K00319,0,0,0,0,0,0
K00320,1,1,1,1,1,1
K00322,1,1,1,1,1,1
K00323,1,0,1,1,1,1
K00324,1,1,1,1,1,1
K00325,1,1,1,1,1,1
K00326,1,1,1,1,1,1
K00327,0,0,1,1,1,1
K00329,1,1,1,1,1,1
K00330,1,1,1,1,1,1
K00331,1,1,1,1,1,1
K00332,1,1,1,1,1,1
K00333,1,1,1,1,1,1
K00334,1,1,1,1,1,1
K00335,1,1,1,1,1,1
K00336,1,1,1,1,1,1
K00337,1,1,1,1,1,1
K00338,1,1,1,1,1,1
K00339,1,1,1,1,1,1
K00340,1,1,1,1,1,1
K00341,1,1,1,1,1,1
K00342,1,1,1,1,1,1
K00343,1,1,1,1,1,1
K00344,1,1,1,1,1,1
K00346,1,1,1,1,1,1
K00347,1,1,1,1,1,1
K00348,1,1,1,1,1,1
K00349,1,1,1,1,1,1
K00350,1,1,1,1,1,1
K00351,1,1,1,1,1,1
K00354,1,1,1,1,1,1
K00355,1,1,1,1,1,1
K00356,1,1,1,1,1,1
K00357,0,0,0,0,0,0
K00360,0,0,1,1,1,1
K00362,1,1,1,1,1,1
K00363,1,1,1,1,1,1
K00364,1,1,1,1,1,1
K00365,1,1,1,1,1,1
K00366,1,1,1,1,1,1
K00367,1,1,1,1,1,1
K00368,1,1,1,1,1,1
K00370,1,1,1,1,1,1
K00371,1,1,1,1,1,1
K00372,1,1,1,1,1,1
K00373,1,0,1,0,0,0
K00374,1,0,1,0,1,0
K00375,1,1,1,1,1,1
K00376,1,1,1,1,1,1
K00380,1,1,1,1,1,1
K00381,1,1,1,1,1,1
K00382,1,1,1,1,1,1
K00383,1,1,1,1,1,1
K00384,1,1,1,1,1,1
K00385,0,0,1,0,0,1
K00387,1,1,1,1,1,1
K00389,1,1,1,1,1,1
K00390,1,1,1,1,1,1
K00392,1,1,1,1,1,1
K00394,1,1,1,1,1,1
K00395,1,1,1,1,1,1
K00400,0,0,0,0,0,1
K00404,1,1,1,1,1,1
K00405,1,1,1,1,1,1
K00406,1,1,1,1,1,1
K00407,0,1,1,0,0,1
K00410,1,1,1,1,1,1
K00411,1,1,1,1,1,1
K00412,1,1,1,1,1,1
K00413,1,1,1,1,1,1
K00416,0,0,0,0,1,0
K00417,0,0,1,1,1,0
K00419,0,0,1,0,1,0
K00423,1,1,1,1,1,1
K00425,1,1,1,1,1,1
K00426,1,1,1,1,1,1
K00427,1,0,1,0,0,1
K00428,1,1,1,1,1,1
K00430,0,0,0,0,0,0
K00432,1,1,1,1,1,1
K00433,1,1,1,1,1,1
K00434,0,1,1,1,1,0
K00435,1,1,1,1,1,1
K00436,1,0,1,0,1,1
K00437,0,0,0,0,0,0
K00440,0,0,0,0,0,0
K00441,1,1,1,1,1,1
K00442,0,0,0,0,0,0
K00443,0,0,0,0,0,0
K00446,1,1,1,1,1,1
K00448,1,1,1,1,1,1
K00449,1,1,1,1,1,1
K00450,1,1,1,1,1,1
K00451,1,1,1,1,1,1
K00452,1,1,1,1,1,1
K00453,1,1,1,1,1,1
K00454,0,0,0,0,0,0
K00455,0,0,1,0,1,0
K00456,1,0,1,0,1,1
K00457,1,1,1,1,1,1
K00459,1,1,1,1,1,1
K00460,0,0,0,0,0,0
K00461,0,0,0,0,0,0
K00462,1,1,1,1,1,1
K00463,1,1,1,1,1,1
K00464,1,1,1,1,1,1
K00466,0,0,0,0,0,0
K00467,0,0,0,0,0,0
K00469,1,1,1,1,1,1
K00471,1,1,1,1,1,1
K00472,1,1,1,1,1,1
K00473,1,0,1,1,1,1
K00474,1,1,1,1,1,1
K00476,0,0,1,1,1,1
K00477,1,1,1,1,1,1
K00478,1,1,1,1,1,1
K00479,1,1,1,1,1,1
K00480,1,1,1,1,1,1
K00481,1,1,1,1,1,1
K00483,1,1,1,1,1,1
K00484,1,1,1,1,1,1
K00485,1,1,1,1,1,1
K00486,1,1,1,1,1,1
K00488,0,0,0,0,0,0
K00489,0,0,0,0,0,0
K00490,0,0,1,0,1,1
K00491,1,1,1,1,1,1
K00493,1,1,1,1,1,1
K00494,1,0,1,0,0,0
K00495,1,1,1,1,1,1
K00496,1,1,1,1,1,1
K00497,0,0,0,0,0,0
K00498,0,0,0,0,0,0
K00499,1,1,1,1,1,1
K00500,1,1,1,1,1,1
K00501,0,0,0,0,0,0
K00502,0,0,0,0,0,0
K00503,0,0,0,1,1,0
K00504,1,1,1,1,1,1
K00505,0,0,1,0,1,0
K00507,1,1,1,1,1,1
K00508,1,1,1,1,1,1
K00509,0,0,0,0,1,0
K00510,1,1,1,1,1,1
K00511,0,0,1,1,1,0
K00512,0,0,0,0,0,0
K00514,1,1,1,1,1,1
K00515,0,0,0,0,0,0
K00517,1,1,1,1,1,1
K00518,1,1,1,1,1,1
K00520,1,1,1,1,1,1
K00521,0,0,0,0,0,0
K00522,0,1,1,1,1,1
K00523,1,1,1,1,1,1
K00524,1,1,1,1,1,1
K00525,1,1,1,1,1,1
K00526,1,1,1,1,1,1
K00527,1,1,1,1,1,1
K00528,1,1,1,1,1,1
K00529,1,1,1,1,1,1
K00531,0,0,0,0,0,0
K00532,0,0,0,0,0,0
K00533,0,0,0,0,0,0
K00534,0,1,1,0,0,0
K00537,1,1,1,1,1,1
K00541,0,0,0,0,0,0
K00542,1,1,1,1,1,1
K00543,0,0,0,0,0,0
K00544,1,1,1,1,1,1
K00545,1,1,1,1,1,1
K00547,1,1,1,1,1,1
K00548,1,1,1,1,1,1
K00549,1,1,1,1,1,1
K00551,1,1,1,1,1,1
K00552,0,0,0,0,0,0
K00553,0,0,0,0,0,0
K00554,1,1,1,1,1,1
K00555,1,1,1,1,1,1
K00556,1,1,1,1,1,1
K00557,1,1,1,1,1,1
K00558,1,1,1,1,1,1
K00559,1,1,1,1,1,1
K00560,1,1,1,1,1,1
K00561,0,0,1,0,0,0
K00563,1,1,1,1,1,1
K00564,1,1,1,1,1,1
K00565,1,1,1,1,1,1
K00566,1,1,1,1,1,1
K00567,1,1,1,1,1,1
K00568,1,1,1,1,1,1
K00569,1,1,1,1,1,1
K00571,1,1,1,1,1,1
K00573,1,1,1,1,1,1
K00574,1,1,1,1,1,1
K00575,1,1,1,1,1,1
K00577,1,0,1,0,1,0
K00584,0,0,0,0,0,0
K00586,1,1,1,1,1,1
K00587,0,0,1,0,1,1
K00588,1,1,1,1,1,1
K00589,0,0,0,0,1,0
K00590,1,1,1,1,1,1
K00591,0,0,1,0,1,1
K00592,0,0,0,0,0,1
K00594,0,0,0,0,1,0
K00595,1,1,1,1,1,1
K00596,1,1,1,1,1,1
K00597,1,0,1,0,1,1
K00598,1,1,1,1,1,1
K00599,1,1,1,1,1,1
K00600,1,1,1,1,1,1
K00601,1,0,1,1,1,1
K00602,1,1,1,1,1,1
K00603,1,1,1,1,1,1
K00604,1,1,1,1,1,1
K00605,1,1,1,1,1,1
K00606,1,1,1,1,1,1
K00608,0,0,0,0,0,0
K00609,1,1,1,1,1,1
K00610,1,1,1,1,1,1
K00611,1,1,1,1,1,1
K00612,1,1,1,1,1,1
K00613,1,1,1,1,1,1
K00615,1,1,1,1,1,1
K00616,1,1,1,1,1,1
K00618,0,0,0,0,0,0
K00619,1,1,1,1,1,1
K00620,1,1,1,1,1,1
K00621,1,1,1,1,1,1
K00622,0,0,1,0,1,0
K00623,0,0,0,0,0,0
K00624,0,0,1,0,1,1
K00625,1,1,1,1,1,1
K00626,1,1,1,1,1,1
K00627,1,1,1,1,1,1
K00629,0,0,0,0,0,0
K00630,0,1,1,1,1,0
K00631,1,1,1,1,1,1
K00632,1,1,1,1,1,1
K00633,1,1,1,1,1,1
K00634,1,1,1,1,1,1
K00635,1,1,1,1,1,1
K00638,1,1,1,1,1,1
K00639,1,1,1,1,1,1
K00640,1,1,1,1,1,1
K00641,1,1,1,1,1,1
K00643,1,1,1,1,1,1
K00645,1,1,1,1,1,1
K00646,0,0,0,0,0,0
K00647,1,1,1,1,1,1
K00648,1,1,1,1,1,1
K00649,0,0,0,0,0,0
K00650,0,0,0,0,0,0
K00651,1,1,1,1,1,1
K00652,1,1,1,1,1,1
K00653,1,1,1,1,1,1
K00654,0,0,1,1,1,1
K00655,1,1,1,1,1,1
K00656,1,1,1,1,1,1
K00657,1,1,1,1,1,1
K00658,1,1,1,1,1,1
K00659,0,0,0,0,0,0
K00661,1,1,1,1,1,1
K00662,1,1,1,1,1,1
K00663,1,1,1,1,1,1
K00665,0,0,0,0,0,0
K00666,1,1,1,1,1,1
K00667,0,0,0,0,0,1
K00668,0,0,0,0,0,1
K00670,0,1,1,1,1,1
K00671,0,0,1,1,1,1
K00672,1,1,1,1,1,1
K00673,1,1,1,1,1,1
K00674,1,1,1,1,1,1
K00675,1,0,1,0,1,1
K00677,1,1,1,1,1,1
K00679,0,0,1,1,1,0
K00680,1,1,1,1,1,1
K00681,1,1,1,1,1,1
K00682,1,1,1,1,0,1
K00683,1,1,1,1,1,1
K00684,1,1,1,1,1,1
K00685,1,1,1,1,1,1
K00686,0,0,1,0,0,0
K00687,0,0,0,0,0,0
K00688,1,1,1,1,1,1
K00689,0,0,0,0,0,0
K00690,1,1,1,1,1,1
K00691,1,1,1,1,1,1
K00692,0,0,0,0,0,0
K00693,0,0,0,0,0,0
K00694,1,1,1,1,1,1
K00695,0,0,0,0,0,0
K00696,1,1,1,1,1,1
K00697,1,1,1,1,1,1
K00698,0,0,1,0,1,1
K00699,0,0,0,0,0,0
K00700,1,1,1,1,1,1
K00701,1,1,1,1,1,1
K00702,0,0,0,0,0,0
K00703,1,1,1,1,1,1
K00705,1,1,1,1,1,1
K00706,0,0,0,0,1,1
K00709,1,1,1,1,1,1
K00710,0,0,0,0,1,0
K00712,1,1,1,1,1,1
K00715,0,0,0,0,0,0
K00717,0,0,1,0,1,0
K00718,0,0,1,0,1,0
K00720,0,0,1,0,1,0
K00721,1,1,1,1,1,1
K00722,0,0,0,0,0,0
K00725,0,0,0,0,1,0
K00726,0,0,1,1,1,1
K00727,0,0,0,0,0,0
K00728,0,0,0,0,1,0
K00729,1,1,1,1,1,1
K00731,0,0,1,0,1,0
K00733,1,1,1,1,1,1
K00734,0,0,0,0,1,1
K00736,0,0,0,0,0,0
K00737,1,1,1,1,1,1
K00741,0,0,0,0,1,0
K00743,1,0,1,0,1,1
K00744,0,0,0,0,1,0
K00745,0,0,0,0,1,0
K00746,0,0,0,0,0,0
K00748,1,1,1,1,1,1
K00749,0,0,0,0,1,0
K00750,1,0,1,1,1,1
K00752,0,0,0,0,1,1
K00753,0,0,0,0,0,0
K00754,1,1,1,1,1,1
K00756,1,1,1,1,1,1
K00757,1,1,1,1,1,1
K00758,1,1,1,1,1,1
K00759,1,1,1,1,1,1
K00760,1,1,1,1,1,1
K00761,1,1,1,1,1,1
K00762,1,1,1,1,1,1
K00763,1,1,1,1,1,1
K00764,1,1,1,1,1,1
K00765,1,1,1,1,1,1
K00766,1,1,1,1,1,1
K00767,1,1,1,1,1,1
K00768,1,1,1,1,1,1
K00769,1,1,1,1,1,1
K00771,0,0,0,0,1,0
K00772,1,1,1,1,1,1
K00773,1,1,1,1,1,1
K00774,0,0,0,0,0,0
K00775,0,0,0,0,0,0
K00778,0,0,1,0,1,1
K00779,0,0,1,0,1,0
K00780,0,0,1,0,1,0
K00781,1,0,1,1,1,1
K00782,1,1,1,1,1,1
K00783,1,1,1,1,1,1
K00784,1,1,1,1,1,1
K00785,0,1,1,1,1,0
K00786,1,1,1,1,1,1
K00787,0,1,1,1,1,1
K00788,1,1,1,1,1,1
K00789,1,1,1,1,1,1
K00790,1,1,1,1,1,1
K00791,1,1,1,1,1,1
K00793,1,1,1,1,1,1
K00794,1,1,1,1,1,1
K00795,1,1,1,1,1,1
K00796,1,1,1,1,1,1
K00797,1,1,1,1,1,1
K00798,1,1,1,1,1,1
K00799,1,1,1,1,1,1
K00800,1,1,1,1,1,1
K00801,1,1,1,1,1,1
K00802,0,0,0,0,0,0
K00803,1,1,1,1,1,1
K00804,0,0,1,0,1,1
K00805,1,1,1,1,1,1
K00806,1,1,1,1,1,1
K00808,1,1,1,1,1,1
K00809,1,1,1,1,1,1
K00811,0,0,1,1,1,0
K00812,1,1,1,1,1,1
K00813,1,1,1,1,1,1
K00814,0,0,1,1,1,1
K00815,0,0,1,1,1,1
K00816,0,0,1,0,1,0
K00817,1,1,1,1,1,1
K00818,1,1,1,1,1,1
K00819,1,1,1,1,1,1
K00820,1,1,1,1,1,1
K00821,1,1,1,1,1,1
K00822,1,1,1,1,1,1
K00823,1,1,1,1,1,1
K00824,1,1,1,1,1,1
K00825,0,0,0,0,1,0
K00826,1,1,1,1,1,1
K00827,0,0,1,0,1,1
K00830,1,1,1,1,1,1
K00831,1,1,1,1,1,1
K00832,1,1,1,1,1,1
K00833,1,1,1,1,1,1
K00835,1,1,1,1,1,1
K00836,1,1,1,1,1,1
K00839,1,1,1,1,1,1
K00840,1,1,1,1,1,1
K00841,0,0,0,0,1,1
K00842,0,1,0,1,0,0
K00844,0,0,1,0,1,1
K00845,1,1,1,1,1,1
K00846,0,1,1,0,1,0
K00847,1,1,1,1,1,1
K00848,1,1,1,1,1,1
K00849,1,1,1,1,1,1
K00850,1,1,1,1,1,1
K00851,1,1,1,1,1,1
K00852,1,1,1,1,1,1
K00853,1,1,1,1,1,1
K00854,1,1,1,1,1,1
K00855,1,1,1,1,1,1
K00856,1,1,1,1,1,1
K00857,1,1,1,1,1,1
K00858,1,1,1,1,1,1
K00859,1,1,1,1,1,1
K00860,1,1,1,1,1,1
K00861,1,1,1,1,1,1
K00862,1,1,1,1,1,1
K00863,1,1,1,1,1,1
K00864,1,1,1,1,1,1
K00865,1,1,1,1,1,1
K00866,0,0,0,0,0,0
K00867,1,1,1,1,1,1
K00868,1,1,1,1,1,1
K00869,1,1,1,1,1,1
K00870,1,1,1,1,1,1
K00871,0,0,0,0,1,0
K00872,1,1,1,1,1,1
K00873,1,1,1,1,1,1
K00874,1,1,1,1,1,1
K00875,0,0,0,0,1,0
K00876,1,1,1,1,1,1
K00877,0,0,1,0,0,0
K00878,1,1,1,1,1,1
K00879,0,0,0,0,1,0
K00880,1,0,1,0,1,1
K00881,0,0,0,0,0,0
K00882,1,1,1,1,1,1
K00883,1,1,1,1,1,1
K00884,1,1,1,1,1,1
K00885,1,0,1,0,1,1
K00886,1,1,1,1,1,1
K00887,0,0,0,0,0,0
K00888,0,1,1,1,1,1
K00889,1,1,1,1,1,1
K00891,1,1,1,1,1,1
K00892,1,1,1,1,0,1
K00893,1,0,1,1,1,1
K00894,0,0,1,0,1,1
K00895,1,1,1,1,1,1
K00897,1,1,1,1,1,1
K00898,0,0,1,1,1,1
K00899,1,1,1,1,1,1
K00900,0,0,1,0,1,0
K00901,1,1,1,1,1,1
K00902,0,0,1,0,1,1
K00903,1,1,1,1,1,1
K00904,1,1,1,1,1,1
K00905,0,0,0,0,0,1
K00906,1,1,1,1,1,1
K00907,0,0,1,0,1,0
K00908,1,1,1,1,1,1
K00909,1,0,0,0,0,0
K00910,0,0,0,0,1,1
